,company,title,salary,location,submit date,start date,year,salary_normalized,level,category,relevance,cpi_pct
0,COMPANY 3/METHOD INC,ASSOCIATE PRODUCER,50000.0,"NEW YORK, NY",08/25/2021,08/25/2021,2021,55235.0,Junior,,0,1.104706635773598
1,COMPANY 3 / METHOD INC,CG GENERALIST,114400.0,"ATLANTA, GA",02/17/2022,08/06/2022,2022,120027.0,Junior,,0,1.0491910269771574
2,COMPANY SMILE LLC,"CONSTRUCTION AND RELATED WORKERS, ALL OTHER",30000.0,"NEW ORLEANS, LA",12/05/2014,02/01/2015,2015,38945.0,Junior,,0,1.2981756685339816
3,COMPANY SMILE LLC,"CONSTRUCTION AND RELATED WORKERS, ALL OTHER",34640.0,"NEW ORLEANS, LA",11/29/2014,02/01/2015,2015,44969.0,Junior,,0,1.2981756685339816
4,COMPANY 3/METHOD INC,CREATIVE DIRECTOR,100000.0,"ATLANTA, GA",03/16/2021,03/29/2021,2021,110471.0,Director,General,0,1.104706635773598
5,COMPANY 3/METHOD INC,CREATIVE DIRECTOR,130000.0,"ATLANTA, GA",02/17/2022,08/01/2022,2022,136395.0,Director,General,0,1.0491910269771574
6,COMPANY 3/METHOD INC (F/K/A DELUXE CREATIVE SERVICES INC),CREATIVE DIRECTOR,250000.0,"SANTA MONICA, CA",03/19/2021,08/01/2021,2021,276177.0,Director,General,0,1.104706635773598
7,COMPANY 3/METHOD INC (F/K/A DELUXE CREATIVE SERVICES INC),CREATIVE DIRECTOR,250000.0,"SANTA MONICA, CA",01/12/2021,03/18/2021,2021,276177.0,Director,General,0,1.104706635773598
8,COMPANYBOOK INC,DEMAND GENERATION MANAGER,120000.0,"NEW YORK, NY",08/03/2016,08/17/2016,2016,152615.0,Manager,General,0,1.2717908148049968
9,COMPANY 3/METHOD INC,EC3 MOBILABS SPECIALIST,65000.0,"LOS ANGELES, CA",04/02/2023,10/01/2023,2023,65000.0,Junior,,0,1.0
10,COMPANY SMILE LLC,"FOOD PREPARATION AND SERVING RELATED WORKERS, ALL OTHER",30000.0,"NEW ORLEANS, LA",02/24/2015,05/01/2015,2015,38945.0,Junior,,0,1.2981756685339816
11,COMPANY 3 / METHOD INC,"GLOBAL HEAD OF CORE TECHNOLOGY, VFX",150000.0,"SANTA MONICA, CA",01/05/2021,02/04/2021,2021,165706.0,Junior,,0,1.104706635773598
12,COMPANY 3 / METHOD INC,"GLOBAL HEAD OF CORE TECHNOLOGY, VFX",150000.0,"SANTA MONICA, CA",01/11/2021,02/04/2021,2021,165706.0,Junior,,0,1.104706635773598
13,COMPANY SMILE LLC,HURRICANE PROTECTION BARRICADE AT CHANDELURE ISLAND LA.,20000.0,"NEW ORLEANS, LA",11/17/2014,02/01/2015,2015,25964.0,Junior,Incorrect Values,0,1.2981756685339816
14,COMPANY SMILE LLC,HURRICANE PROTECTION BARRICADE AT CHANDELURE ISLAND LA.,34640.0,"NEW ORLEANS, LA",11/22/2014,02/01/2015,2015,44969.0,Junior,Mechanical,0,1.2981756685339816
15,COMPANY 3 / METHOD INC,"LEAD ARTIST, CHARACTER MODELER",104000.0,"SANTA MONICA, CA",03/17/2022,09/14/2022,2022,109116.0,Staff,Software,0,1.0491910269771574
16,COMPANYON LLC,MANAGING DIRECTOR,150000.0,"IRVINE, CA",01/21/2021,02/01/2021,2021,165706.0,Director,General,0,1.104706635773598
17,COMPANYON LLC,MANAGING DIRECTOR,150000.0,"IRVINE, CA",02/01/2021,02/08/2021,2021,165706.0,Director,General,0,1.104706635773598
18,COMPANYON LLC,MANAGING DIRECTOR,150000.0,"BOSTON, MA",01/25/2019,06/20/2019,2019,179231.0,Director,General,0,1.1948718547401682
19,COMPANYON LLC,MANAGING DIRECTOR,180000.0,"BOSTON, MA",07/26/2020,10/01/2020,2020,212187.0,Director,General,0,1.178816311800794
20,COMPANYON LLC,MANAGING DIRECTOR,187637.0,"BOSTON, MA",12/06/2017,04/08/2018,2018,229325.0,Director,General,0,1.2221762268491798
21,COMPANY 3/METHOD INC,PIPELINE TECHNICAL DEVELOPER,80000.0,"NEW YORK, NY",08/02/2021,10/01/2021,2021,88377.0,Junior,,0,1.104706635773598
22,COMPANY 3 METHOD INC,PIPELINE TECHNICAL DIRECTOR,80122.0,"SANTA MONICA, CA",04/28/2023,10/01/2023,2023,80122.0,Director,General,0,1.0
23,COMPANY BOX LLC,"SOFTWARE DEVELOPER, APPLICATIONS",86700.0,"CHARLOTTE, NC",12/07/2021,12/07/2021,2021,95778.0,Junior,Software,0,1.104706635773598
24,COMPANY KITCHEN LLC,SOFTWARE ENGINEER,66997.0,"MERRIAM, KS",02/22/2017,08/22/2017,2017,83446.0,Junior,Software,0,1.2455217341922085
25,COMPANY A LLC,SOFTWARE ENGINEER,120000.0,"IRVINE, CA",11/05/2015,11/30/2015,2015,155781.0,Junior,Software,0,1.2981756685339816
26,COMPANY 3/METHOD INC,SOFTWARE ENGINEER,125000.0,"LOS ANGELES, CA",03/13/2023,09/12/2023,2023,125000.0,Junior,Software,0,1.0
27,COMPANY 3 / METHOD INC,"SR. MANAGER, IT APPLICATIONS",140000.0,"SANTA MONICA, CA",01/04/2022,01/17/2022,2022,146887.0,Manager,Test/QA,0,1.0491910269771574
28,COMPANY 3 / METHOD INC,"SVP, TECHNOLOGY",200000.0,"SANTA MONICA, CA",11/18/2022,02/04/2023,2023,200000.0,Junior,,0,1.0
29,COMPANYWIDE LLC,WEB DEVELOPER,60000.0,"BOSTON, MA",03/13/2019,09/12/2019,2019,71692.0,Junior,Software,0,1.1948718547401682
30,A123,SENIOR SYSTEMS TEST ENGINEER,110000.0,"LIVONIA, MI",10/25/2018,11/26/2018,2018,134439.0,Senior,Test/QA,Relevant,1.2221762268491798
31,AMPRIUS INC,BATTERY ENGINEER,95000.0,"SUNNYVALE, CA",07/21/2015,07/27/2015,2015,123327.0,Junior,Battery General,Battery,1.2981756685339816
32,AMPRIUS TECHNOLOGIES INC,BATTERY MANUFACTURING ENGINEER,124197.0,"FREMONT, CA",10/22/2021,11/01/2021,2021,137201.0,Junior,Battery General,Battery,1.104706635773598
33,AMPRIUS TECHNOLOGIES INC,DIRECTOR OF PRODUCT ENGINEERING,140920.0,"FREMONT, CA",12/27/2022,12/30/2022,2022,147852.0,Director,General,Relevant,1.0491910269771574
34,AMPRIUS TECHNOLOGIES INC,SENIOR MANUFACTURING ENGINEER,124197.0,"FREMONT, CA",10/22/2021,11/01/2021,2021,137201.0,Senior,Manufacturing,Relevant,1.104706635773598
35,AMPRIUS TECHNOLOGIES INC,STAFF MECHANICAL ENGINEER,148096.0,"FREMONT, CA",06/15/2023,06/26/2023,2023,148096.0,Staff,Mechanical,Relevant,1.0
36,AMPRIUS TECHNOLOGIES INC,STAFF PRODUCT ENGINEER,131310.0,"FREMONT, CA",03/27/2023,03/30/2023,2023,131310.0,Staff,General,Relevant,1.0
37,AMPRIUS TECHNOLOGIES INC,Â QUALITY MANAGER,132163.0,"FREMONT, CA",02/16/2023,02/21/2023,2023,132163.0,Manager,Test/QA,Relevant,1.0
38,AQUION ENERGY INC,BATTERY DESIGN ENGINEER,88400.0,"PITTSBURGH, PA",12/03/2014,12/17/2014,2014,115596.0,Junior,Battery General,Battery,1.3076461168935147
39,AQUION ENERGY INC,BATTERY DESIGN ENGINEER,88400.0,"PITTSBURGH, PA",10/30/2014,11/30/2014,2014,115596.0,Junior,Battery General,Battery,1.3076461168935147
40,AQUION ENERGY INC,CHEMIST,41500.0,"PITTSBURGH, PA",03/30/2016,09/29/2016,2016,52779.0,Junior,Research,Relevant,1.2717908148049968
41,AQUIONIX INC,HEALTH AND SAFETY SPECIALIST,76500.0,"DENVER, CO",12/02/2016,01/01/2017,2017,95282.0,Junior,Safety/Thermal,Relevant,1.2455217341922085
42,AQUIONIX INC,OCCUPATIONAL HEALTH AND SAFETY SPECIALIST,76500.0,"DENVER, CO",11/21/2016,01/01/2017,2017,95282.0,Junior,Safety/Thermal,Relevant,1.2455217341922085
43,AQUION ENERGY INC,PRODUCT DESIGN ENGINEER MECHANICAL ENGINEER,64890.0,"PITTSBURGH, PA",03/06/2015,09/01/2015,2015,84239.0,Junior,PM,Relevant,1.2981756685339816
44,AQUION ENERGY INC,PRODUCT TEST MANAGER SENIOR MECHANICAL ENGINEER,89408.0,"PITTSBURGH, PA",03/06/2015,09/01/2015,2015,116067.0,Manager,Test/QA,Relevant,1.2981756685339816
45,AQUIONIX INC,SAFETY PROFESSIONAL,62200.0,"DENVER, CO",01/09/2015,04/01/2015,2015,80747.0,Junior,Safety/Thermal,Relevant,1.2981756685339816
46,AQUION ENERGY INC,SUPPLIER QUALITY ENGINEER,67311.0,"PITTSBURGH, PA",11/10/2016,11/17/2016,2016,85606.0,Junior,Test/QA,Relevant,1.2717908148049968
47,ASCEND ELEMENTS INC,BATTERY SCIENTIST,98000.0,"WESTBOROUGH, MA",02/02/2022,02/08/2022,2022,102821.0,Junior,Battery General,Battery,1.0491910269771574
48,ASCEND ELEMENTS INC,BATTERY TEST ENGINEER,97500.0,"NOVI, MI",02/11/2022,02/21/2022,2022,102296.0,Junior,Battery General,Battery,1.0491910269771574
