company,title,salary,location,submit date,start date
COMPANY 3/METHOD INC,ASSOCIATE PRODUCER,"50,000","NEW YORK, NY",08/25/2021,08/25/2021
COMPANY 3 / METHOD INC,CG GENERALIST,"114,400","ATLANTA, GA",02/17/2022,08/06/2022
COMPANY 3 / METHOD INC,CG GENERALIST,"114,400","ATLANTA, GA",02/17/2022,08/06/2022
COMPANY 3 / METHOD INC,COMPOSITOR,"55,994","NEW YORK, NY",09/20/2023,10/01/2023
COMPANY 3 / METHOD INC,COMPOSITOR,"55,994","NEW YORK, NY",09/11/2023,10/01/2023
COMPANY 3/METHOD INC,CREATIVE DIRECTOR,"100,000","ATLANTA, GA",03/16/2021,03/29/2021
COMPANY 3/METHOD INC,CREATIVE DIRECTOR,"100,000","ATLANTA, GA",01/31/2024,08/01/2024
COMPANY 3/METHOD INC,CREATIVE DIRECTOR,"130,000","ATLANTA, GA",02/17/2022,08/01/2022
COMPANY 3/METHOD INC,CREATIVE DIRECTOR,"130,000","ATLANTA, GA",02/17/2022,08/01/2022
COMPANY 3/METHOD INC (F/K/A DELUXE CREATIVE SERVICES INC),CREATIVE DIRECTOR,"250,000","SANTA MONICA, CA",01/12/2021,03/18/2021
COMPANY 3/METHOD INC (F/K/A DELUXE CREATIVE SERVICES INC),CREATIVE DIRECTOR,"250,000","SANTA MONICA, CA",03/19/2021,08/01/2021
COMPANY 3/METHOD INC,DAILIES PRODUCER,"60,000","NEW YORK, NY",03/04/2024,08/23/2024
COMPANY 3/METHOD INC,EC3 MOBILABS SPECIALIST,"65,000","LOS ANGELES, CA",04/02/2023,10/01/2023
COMPANY 3 / METHOD INC,"GLOBAL HEAD OF CORE TECHNOLOGY, VFX","150,000","SANTA MONICA, CA",01/05/2021,02/04/2021
COMPANY 3 / METHOD INC,"GLOBAL HEAD OF CORE TECHNOLOGY, VFX","150,000","SANTA MONICA, CA",01/11/2021,02/04/2021
COMPANY OR ORGANIZATION LEGAL NAME,JOB TITLE,"40,000","CCCC, AK",12/29/2023,03/30/2024
COMPANY OR ORGANIZATION LEGAL NAME,JOB TITLE,"40,000","CC, GU",12/29/2023,03/30/2024
COMPANY OR ORGANIZATION LEGAL NAME,JOB TITLE,"2,334","HAYWARD, AZ",12/28/2023,03/30/2024
COMPANY OR ORGANIZATION LEGAL NAME(TEST)1-2,JOB TITLE,"3,976","CITYORT, CA",04/22/2024,04/22/2024
COMPANY OR ORGANIZATION LEGAL NAME,JOB TITLE,"234,234","SAN JOSE, GA",12/22/2023,12/26/2023
COMPANY 3 / METHOD INC,"LEAD ARTIST, CHARACTER MODELER","104,000","SANTA MONICA, CA",03/17/2022,09/14/2022
COMPANY 3 / METHOD INC,"LEAD ARTIST, CHARACTER MODELER","104,000","SANTA MONICA, CA",03/17/2022,09/14/2022
COMPANYON LLC,MANAGING DIRECTOR,"150,000","IRVINE, CA",01/21/2021,02/01/2021
COMPANYON LLC,MANAGING DIRECTOR,"150,000","IRVINE, CA",02/01/2021,02/08/2021
COMPANYON LLC,MANAGING DIRECTOR,"150,000","BOSTON, MA",01/25/2019,06/20/2019
COMPANYON LLC,MANAGING DIRECTOR,"180,000","BOSTON, MA",07/26/2020,10/01/2020
COMPANYON LLC,MANAGING DIRECTOR,"200,000","IRVINE, CA",10/17/2023,02/01/2024
COMPANY 3/METHOD INC,PIPELINE TECHNICAL DEVELOPER,"80,000","NEW YORK, NY",08/02/2021,10/01/2021
COMPANY 3 METHOD INC,PIPELINE TECHNICAL DIRECTOR,"80,122","SANTA MONICA, CA",04/28/2023,10/01/2023
COMPANYCAM INC,PRODUCT MANAGER,"127,000","SAN FRANCISCO, CA",04/27/2024,10/01/2024
COMPANY BOX LLC,"SOFTWARE DEVELOPER, APPLICATIONS","86,700","CHARLOTTE, NC",12/07/2021,12/07/2021
COMPANY 3/METHOD INC,SOFTWARE ENGINEER,"125,000","LOS ANGELES, CA",03/13/2023,09/12/2023
COMPANY 3/METHOD INC,SOFTWARE ENGINEER,"125,000","LOS ANGELES, CA",03/13/2023,09/12/2023
COMPANY 3 / METHOD INC,"SR. MANAGER, IT APPLICATIONS","140,000","SANTA MONICA, CA",01/04/2022,01/17/2022
COMPANY 3 / METHOD INC,"SR. MANAGER, IT APPLICATIONS","140,000","SANTA MONICA, CA",01/04/2022,01/17/2022
COMPANY 3 / METHOD INC,"SVP, TECHNOLOGY","200,000","SANTA MONICA, CA",11/18/2022,02/04/2023
COMPANY OR ORGANIZATION LEGAL NAME,TTLTE,"50,000","NAPA, CA",05/09/2024,09/01/2024
COMPANYWIDE LLC,WEB DEVELOPER,"60,000","BOSTON, MA",03/13/2019,09/12/2019
A123,SENIOR SYSTEMS TEST ENGINEER,"110,000","LIVONIA, MI",10/25/2018,11/26/2018
AMPRIUS TECHNOLOGIES INC,BATTERY MANUFACTURING ENGINEER,"124,197","FREMONT, CA",10/22/2021,11/01/2021
AMPRIUS TECHNOLOGIES INC,DIRECTOR OF PRODUCT ENGINEERING,"140,920","FREMONT, CA",12/27/2022,12/30/2022
AMPRIUS TECHNOLOGIES INC,SENIOR MANUFACTURING ENGINEER,"124,197","FREMONT, CA",10/22/2021,11/01/2021
AMPRIUS TECHNOLOGIES INC,STAFF BATTERY PRODUCT ENGINEERÂ ,"140,046","FREMONT, CA",09/05/2023,09/08/2023
AMPRIUS TECHNOLOGIES INC,STAFF MECHANICAL ENGINEER,"148,096","FREMONT, CA",06/15/2023,06/26/2023
AMPRIUS TECHNOLOGIES INC,STAFF PRODUCT ENGINEER,"131,310","FREMONT, CA",03/27/2023,03/30/2023
AMPRIUS TECHNOLOGIES INC,Â QUALITY MANAGER,"132,163","FREMONT, CA",02/16/2023,02/21/2023
ASCEND ELEMENTS INC,ASSOCIATE BATTERY MATERIALS ENGINEER,"70,000","WESTBOROUGH, MA",05/01/2024,10/01/2024
ASCEND ELEMENTS INC,ASSOCIATE FINANCIAL ANALYST,"70,000","WESTBOROUGH, MA",09/07/2023,10/01/2023
ASCEND ELEMENTS INC,ASSOCIATE PROCESS ENGINEER,"70,000","WESTBOROUGH, MA",05/01/2024,10/01/2024
ASCEND ELEMENTS INC,BATTERY SCIENTIST,"98,000","WESTBOROUGH, MA",02/02/2022,02/08/2022
ASCEND ELEMENTS INC,BATTERY TEST ENGINEER,"97,500","NOVI, MI",02/11/2022,02/21/2022
ASCEND ELEMENTS INC,CHEMICAL PROCESS ENGINEER,"125,000","WESTBOROUGH, MA",09/07/2023,10/01/2023
