company,title,salary,location,submit date,start date
24M TECHNOLOGIES INC,ASSOCIATE PROCESS ENGINER,"72,000","CAMBRIDGE, MA",03/29/2021,09/17/2021
24M TECHNOLOGIES INC,BATTERY ENGINEER,"82,000","CAMBRIDGE, MA",02/25/2019,08/14/2019
24M TECHNOLOGIES INC,BATTERY ENGINEER,"82,000","CAMBRIDGE, MA",03/15/2019,08/14/2019
24M TECHNOLOGIES INC,BATTERY ENGINEER,"100,000","CAMBRIDGE, MA",02/27/2020,08/14/2020
24M TECHNOLOGIES INC,BATTERY ENGINEER,"115,000","CAMBRIDGE, MA",03/23/2022,08/01/2022
24M TECHNOLOGIES INC,PROCESS ENGINEER,"90,000","CAMBRIDGE, MA",03/23/2022,08/01/2022
24M TECHNOLOGIES INC,SENIOR PROCESS ENGINEER,"110,000","CAMBRIDGE, MA",03/23/2022,08/01/2022
A123,SENIOR SYSTEMS TEST ENGINEER,"110,000","LIVONIA, MI",10/25/2018,11/26/2018
A123 SYSTEMS LLC,A-SAMPLE CELL ASSOCIATE PROGRAM MANAGER,"65,200","LIVONIA, MI",03/14/2018,09/01/2018
A123 SYSTEMS LLC,ACCOUNT MANAGER,"75,000","NOVI, MI",11/09/2021,11/22/2021
A123 SYSTEMS LLC,ADVANCE MANUFACTURING PROGRAM PROCESS ENGINEER,"88,000","ROMULUS, MI",04/29/2014,05/01/2014
A123 SYSTEMS LLC,ALGORITHM DEVELOPMENT ENGINEER,"80,000","LIVONIA, MI",03/13/2019,09/01/2019
A123 SYSTEMS LLC,ALGORITHM DEVELOPMENT ENGINEER,"83,000","NOVI, MI",03/30/2021,09/01/2021
A123 SYSTEMS LLC,ALGORITHM DEVELOPMENT ENGINEER,"90,000","NOVI, MI",03/04/2020,08/01/2020
A123 SYSTEMS LLC,ALGORITHM DEVELOPMENT ENGINEER,"107,659","NOVI, MI",08/16/2021,08/23/2021
A123 SYSTEMS LLC,ALGORITHM DEVELOPMENT ENGINEER,"112,507","NOVI, MI",03/30/2022,08/01/2022
A123 SYSTEMS LLC,APPLICATIONS ENGINEER,"80,000","LIVONIA, MI",12/06/2018,01/14/2019
A123 SYSTEMS LLC,APPLICATIONS ENGINEER,"95,000","LIVONIA, MI",06/06/2019,07/15/2019
A123 SYSTEMS LLC,APPLICATIONS ENGINEER,"100,000","LIVONIA, MI",03/06/2019,04/01/2019
A123 SYSTEMS LLC,APPLICATIONS MODELING SCIENTIST,"96,200","WALTHAM, MA",03/13/2017,09/01/2017
A123 SYSTEMS LLC,ASSOCIATE ELECTRICAL HARDWARE ENGINEER,"68,800","LIVONIA, MI",03/21/2017,09/15/2017
A123 SYSTEMS LLC,ASSOCIATE ENGINEER,"67,200","WALTHAM, MA",03/20/2018,09/01/2018
A123 SYSTEMS LLC,ASSOCIATE ENGINEER,"70,000","LIVONIA, MI",03/16/2017,09/10/2017
A123 SYSTEMS LLC,ASSOCIATE ENGINEER,"70,000","LIVONIA, MI",03/17/2017,09/15/2017
A123 SYSTEMS LLC,ASSOCIATE ENGINEER,"70,000","LIVONIA, MI",03/16/2018,09/01/2018
A123 SYSTEMS LLC,ASSOCIATE PROGRAM MANAGER,"82,000","LIVONIA, MI",12/02/2016,01/02/2017
A123 SYSTEMS LLC,"ASSOCIATE PROGRAM MANAGER, A-SAMPLE NBO","69,000","LIVONIA, MI",03/20/2017,09/15/2017
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"65,000","WALTHAM, MA",03/14/2018,09/01/2018
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"68,744","WALTHAM, MA",03/16/2018,09/01/2018
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"70,000","WALTHAM, MA",03/15/2019,09/04/2019
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"70,000","WALTHAM, MA",03/15/2019,09/04/2019
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"70,000","WALTHAM, MA",03/04/2020,08/15/2020
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"70,000","WALTHAM, MA",03/04/2020,08/01/2020
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"70,000","WALTHAM, MA",03/04/2020,08/15/2020
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"70,000","WALTHAM, MA",03/04/2020,08/01/2020
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"70,574","WALTHAM, MA",03/15/2019,09/10/2019
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"70,800","ROMULUS, MI",03/15/2019,09/01/2019
A123 SYSTEMS LLC,ASSOCIATE RESEARCH ENGINEER,"71,100","WALTHAM, MA",03/18/2019,09/01/2019
A123 SYSTEMS LLC,ASSOCIATE SOFTWARE ENGINEER,"65,000","NOVI, MI",03/30/2021,09/01/2021
A123 SYSTEMS LLC,ASSOCIATE SOFTWARE ENGINEER,"72,000","LIVONIA, MI",03/16/2017,09/05/2017
A123 SYSTEMS LLC,BATTERY MANAGEMENT SYSTEMS ENGINEER,"88,000","LIVONIA, MI",11/30/2016,12/12/2016
A123 SYSTEMS LLC,BATTERY MODULE ENGINEERING MANAGER,"102,600","LIVONIA, MI",03/12/2014,08/15/2014
A123 SYSTEMS LLC,BATTERY SIMULATION ENGINEER,"80,000","LIVONIA, MI",03/12/2015,09/01/2015
A123 SYSTEMS LLC,BATTERY SIMULATION ENGINEER,"83,000","LIVONIA, MI",03/22/2019,09/01/2019
A123 SYSTEMS LLC,BATTERY SIMULATION ENGINEER,"83,000","LIVONIA, MI",03/22/2019,09/01/2019
